,family_id,members_num,family_lv,active_score,dt
0,-658655394,36.0,11.0,57.0,20221104
1,416196404,21.0,1.0,3.0,20221104
2,-270353764,59.0,13.0,825.0,20221104
3,-8203878,29.0,1.0,23.0,20221104
4,1165301875,77.0,13.0,25074.0,20221104
5,2032664436,22.0,1.0,227.0,20221104
6,-1299709831,13.0,1.0,2920.0,20221104
7,1834668503,57.0,9.0,891.0,20221104
8,-1496848930,41.0,3.0,11545.0,20221104
9,1154519537,24.0,1.0,2688.0,20221104
10,1569292065,26.0,3.0,7015.0,20221104
11,-1462391462,25.0,1.0,20.0,20221104
12,-1597013765,27.0,5.0,1055.0,20221104
13,-691469849,1.0,1.0,1638.0,20221104
14,1175346127,1.0,1.0,199.0,20221104
15,-975163190,7.0,1.0,1339.0,20221104
16,779532583,15.0,1.0,870.0,20221104
17,95354441,33.0,1.0,5813.0,20221104
18,1311451990,14.0,1.0,1207.0,20221104
19,-989973401,70.0,13.0,1159.0,20221104
20,654521345,6.0,1.0,3.0,20221104
21,-71110214,42.0,1.0,1071.0,20221104
22,-785404497,13.0,1.0,2270.0,20221104
23,-996187674,42.0,1.0,485.0,20221104
24,-820875585,8.0,1.0,337.0,20221104
25,1669302389,31.0,1.0,596.0,20221104
26,273452944,44.0,1.0,1920.0,20221104
27,1376808400,1.0,1.0,8.0,20221104
28,2042410214,5.0,1.0,2575.0,20221104
29,2080641030,21.0,3.0,97.0,20221104
30,-1541292539,48.0,1.0,2.0,20221104
31,1848317428,7.0,1.0,2539.0,20221104
32,-1031199041,47.0,7.0,2516.0,20221104
33,-109814724,38.0,1.0,820.0,20221104
34,-718788589,24.0,5.0,12344.0,20221104
35,1144378633,14.0,3.0,1628.0,20221104
36,1636659094,22.0,3.0,3333.0,20221104
37,-1640516083,41.0,1.0,975.0,20221104
38,1860268141,24.0,7.0,474.0,20221104
39,-878098747,40.0,3.0,916.0,20221104
40,369495233,41.0,1.0,1333.0,20221104
41,-1901795247,30.0,1.0,4940.0,20221104
42,-1410782414,60.0,7.0,21230.0,20221104
43,204509365,1.0,1.0,77.0,20221104
44,-1701475059,41.0,5.0,2161.0,20221104
45,-333609049,29.0,3.0,1164.0,20221104
46,-534332854,9.0,1.0,2688.0,20221104
47,1981291020,16.0,1.0,1022.0,20221104
48,-1920802474,3.0,1.0,286.0,20221104
49,1139317962,7.0,1.0,7.0,20221104
50,-899028878,13.0,5.0,214.0,20221104
51,1959201409,43.0,1.0,1585.0,20221104
52,2089686010,43.0,1.0,2008.0,20221104
53,1922463372,29.0,1.0,825.0,20221104
54,1403296832,1.0,1.0,280.0,20221104
55,1375806601,42.0,1.0,645.0,20221104
56,1590092813,13.0,1.0,107.0,20221104
57,-1030205435,2.0,1.0,65.0,20221104
58,-833322523,8.0,1.0,1290.0,20221104
59,-1693288925,15.0,3.0,1980.0,20221104
60,434011754,35.0,3.0,12361.0,20221104
61,-1588010203,29.0,3.0,1183.0,20221104
62,442240015,11.0,5.0,6741.0,20221104
63,-854163049,38.0,1.0,80.0,20221104
64,-661172910,14.0,3.0,2887.0,20221104
65,230436164,38.0,1.0,3.0,20221104
66,1130797225,40.0,1.0,888.0,20221104
67,1340878550,44.0,3.0,5495.0,20221104
68,-1558718848,27.0,3.0,429.0,20221104
69,1672558017,36.0,1.0,868.0,20221104
70,1031595439,3.0,1.0,774.0,20221104
71,-1393479462,28.0,1.0,3724.0,20221104
72,885289797,30.0,1.0,2989.0,20221104
73,89441983,38.0,1.0,2062.0,20221104
74,-905489958,23.0,1.0,1701.0,20221104
75,-2063729035,12.0,3.0,5796.0,20221104
76,-1509752016,23.0,1.0,2614.0,20221104
77,218251377,36.0,3.0,288.0,20221104
78,698137005,1.0,1.0,388.0,20221104
79,1334640242,8.0,1.0,324.0,20221104
80,-807286184,29.0,1.0,4842.0,20221104
81,-1852380925,15.0,1.0,298.0,20221104
82,1509433964,16.0,1.0,96.0,20221104
83,331534946,16.0,1.0,104.0,20221104
84,-1230612037,19.0,1.0,768.0,20221104
85,-2093737849,5.0,1.0,2273.0,20221104
86,2136589768,49.0,1.0,285.0,20221104
87,287454360,1.0,1.0,229.0,20221104
88,-404801606,1.0,1.0,20.0,20221104
89,1283345929,21.0,7.0,0.0,20221104
90,-707309778,73.0,11.0,516.0,20221104
91,1333929698,29.0,3.0,635.0,20221104
92,478872456,8.0,1.0,14.0,20221104
93,1428702976,48.0,3.0,171.0,20221104
94,-1876661240,41.0,3.0,1061.0,20221104
95,-765258347,27.0,7.0,13098.0,20221104
96,1174553175,31.0,1.0,84.0,20221104
97,2024998470,29.0,1.0,4351.0,20221104
98,-718753491,18.0,1.0,3958.0,20221104
99,-1640915692,46.0,3.0,3809.0,20221104
100,1666697746,1.0,1.0,58.0,20221104
101,-1443538802,5.0,3.0,2769.0,20221104
102,340448418,44.0,1.0,219.0,20221104
103,-1586082838,38.0,3.0,1319.0,20221104
104,-425433559,44.0,1.0,1581.0,20221104
105,-433448428,5.0,1.0,601.0,20221104
106,2013910263,29.0,1.0,26.0,20221104
107,-1425423095,14.0,1.0,873.0,20221104
108,1482013166,1.0,1.0,433.0,20221104
109,-2107236174,43.0,1.0,1672.0,20221104
110,1973981000,1.0,1.0,975.0,20221104
111,-1715856903,8.0,3.0,1252.0,20221104
112,1161187540,50.0,1.0,1288.0,20221104
113,1789153086,43.0,1.0,663.0,20221104
114,929721314,20.0,3.0,616.0,20221104
115,-349346711,1.0,1.0,46.0,20221104
116,1125199721,68.0,9.0,805.0,20221104
117,106802554,26.0,7.0,908.0,20221104
118,-784676589,56.0,9.0,955.0,20221104
119,718848036,34.0,1.0,246.0,20221104
120,-114485207,24.0,1.0,731.0,20221104
121,-1172468604,30.0,1.0,6406.0,20221104
122,-1053237678,22.0,3.0,32.0,20221104
123,-985033380,16.0,3.0,1242.0,20221104
124,403135926,6.0,1.0,42.0,20221104
125,65371429,50.0,7.0,1496.0,20221104
126,-2069899405,9.0,1.0,935.0,20221104
127,1583858577,21.0,1.0,73.0,20221104
128,1077313326,11.0,1.0,1462.0,20221104
129,-1016483600,25.0,1.0,7.0,20221104
130,-1731197251,24.0,1.0,2420.0,20221104
131,-88392434,29.0,1.0,0.0,20221104
132,-193284635,19.0,1.0,1489.0,20221104
133,400702455,30.0,3.0,1107.0,20221104
134,2085347785,22.0,1.0,2378.0,20221104
135,-445520127,37.0,3.0,341.0,20221104
136,1084474751,28.0,1.0,0.0,20221104
137,-378593339,39.0,1.0,2347.0,20221104
138,1822187966,15.0,3.0,568.0,20221104
139,-233349996,38.0,3.0,3714.0,20221104
140,1762142202,8.0,1.0,45.0,20221104
141,753153190,6.0,1.0,2760.0,20221104
142,1767483971,1.0,1.0,0.0,20221104
143,-1207236829,68.0,11.0,2655.0,20221104
144,-812109397,53.0,11.0,501.0,20221104
145,-946808195,80.0,13.0,530.0,20221104
146,-1721909949,23.0,7.0,959.0,20221104
147,-1604207830,37.0,3.0,1286.0,20221104
148,59313390,37.0,1.0,387.0,20221104
149,793848522,56.0,7.0,3054.0,20221104
150,1793718246,38.0,7.0,3063.0,20221104
151,588465425,1.0,1.0,288.0,20221104
152,364182975,29.0,1.0,1420.0,20221104
153,-157768489,28.0,1.0,87.0,20221104
154,1238135035,41.0,1.0,2792.0,20221104
155,-223620693,57.0,7.0,9258.0,20221104
156,-1897367705,38.0,1.0,167.0,20221104
157,12389289,12.0,1.0,904.0,20221104
158,2134304464,22.0,1.0,5379.0,20221104
159,836761608,1.0,1.0,2858.0,20221104
160,948723148,13.0,1.0,365.0,20221104
161,-884090349,20.0,1.0,1.0,20221104
162,935530068,2.0,1.0,5034.0,20221104
163,1418859489,33.0,1.0,1338.0,20221104
164,-86286538,41.0,3.0,116.0,20221104
165,748877807,12.0,1.0,957.0,20221104
166,1257814964,4.0,1.0,1546.0,20221104
167,-1172563371,22.0,1.0,1330.0,20221104
168,-626022920,14.0,1.0,365.0,20221104
169,-1089723837,13.0,1.0,1143.0,20221104
170,-1676169475,1.0,1.0,18.0,20221104
171,1372947309,72.0,13.0,16800.0,20221104
172,1653607436,33.0,7.0,813.0,20221104
173,-1177200978,10.0,1.0,24.0,20221104
174,-2045908515,28.0,1.0,1539.0,20221104
175,-244133621,12.0,1.0,1458.0,20221104
176,-1412406009,17.0,5.0,334.0,20221104
177,-1712235500,21.0,3.0,2972.0,20221104
178,-892814551,53.0,11.0,591.0,20221104
179,1374923248,14.0,1.0,28.0,20221104
180,-2054802962,25.0,1.0,25.0,20221104
181,-667822798,20.0,1.0,888.0,20221104
182,2143283925,54.0,5.0,965.0,20221104
183,-640124445,27.0,1.0,214.0,20221104
